Shoe Size,"Sex (f, m)",Sex,Shoe Size
7,m,1,7
7,f,2,7
12,m,1,12
6.5,f,2,6.5
8,m,1,8
10,m,1,10
6,f,2,6
8,f,2,8
7.5,f,2,7.5
6,f,2,6
5,f,2,5
5,f,2,5
4,f,2,4
9,m,1,9
6,f,2,6
9,m,1,9
4.5,f,2,4.5
10,m,1,10
4,f,2,4
8,m,1,8
6,f,2,6
6,f,2,6
7,f,2,7
9.5,m,1,9.5
3.5,f,2,3.5
8,m,1,8
9,m,1,9
9,m,1,9
4,f,2,4
5,f,2,5
11,m,1,11
7,f,2,7
5,f,2,5
6,f,2,6
9,m,1,9
7,f,2,7
9,m,1,9
11,m,1,11
7,f,2,7
5,f,2,5
4,f,2,4
7,f,2,7
8,m,1,8
10,m,1,10
7,f,2,7
6,f,2,6
6,f,2,6
4,f,2,4
4,f,2,4
5,f,2,5
9,m,1,9
8,m,1,8
8,m,1,8
3,f,2,3
4,f,2,4
3,f,2,3
4,f,2,4
8,m,1,8
8,m,1,8
6,f,2,6
6,f,2,6
6,f,2,6
4,f,2,4
4,f,2,4
4,f,2,4
5,f,2,5
5,f,2,5
6,f,2,6
5,f,2,5
5,f,2,5
4,f,2,4
7,f,2,7
7,f,2,7
11.5,m,1,11.5
13,m,1,13
12,m,1,12
5,f,2,5
10,m,1,10
10.5,m,1,10.5
5,f,2,5
8.5,m,1,8.5
4,f,2,4
5,f,2,5
10,m,1,10
7.5,m,1,7.5
3,f,2,3
5,f,2,5
7.5,m,1,7.5
4,f,2,4
5,f,2,5